fire_id,cause_id,agency_id,time_id,collection_method,acres_burned,shape_area,shape_length,duration_days
16348,14,3,904,,21.03221,124883.45703125,1331.04385733266,
16349,14,2,7312,,19.22076,114074.50390625,1481.98495749574,
16350,5,3,7339,,19.20462,139337.67578125,1484.32693677134,
16351,14,2,7294,,19.06625,112503.9765625,1219.19739596212,
16352,14,2,7340,,18.16026,107431.41015625,1553.22701739865,
16353,9,3,904,,17.22068,106503.75,1516.89422651985,
16354,14,2,7290,,14.88181,88259.43359375,1197.19257523356,
16355,14,2,7341,,14.30089,84968.11328125,1735.25738167155,
16356,9,3,7315,8.0,14.1951,92282.4375,1723.23259720292,0.0
16357,14,2,7342,,11.73294,69581.18359375,1033.48938771438,
16358,14,2,7343,,11.7326,69858.9609375,1155.30515352951,
16359,1,3,904,,10.87012,67488.71875,1207.05325845495,
16360,9,3,904,,10.13709,69120.7890625,969.086156145409,
16361,14,2,7344,,9.936311,58820.51171875,939.15489425391,
16362,1,3,904,,9.625055,59433.265625,1096.24543309434,
16363,9,3,7345,6.0,9.481697,61437.98828125,1168.30296367108,0.0
16364,14,2,7320,,9.422801,55791.01953125,957.164815220772,
16365,14,2,7346,,9.124198,53995.84375,1217.00848363603,
16366,1,4,904,,8.945923,57983.60546875,854.764217114844,
16367,14,2,7278,,8.781429,51953.04296875,1457.0558982159,
16368,14,2,7347,,8.735622,51561.75390625,1223.33762330025,
16369,1,3,7323,,4.978954,34607.53515625,660.303743203191,
16370,1,3,7348,,4.978426,36229.046875,675.59534507615,
16371,1,3,7348,,4.978402,36205.2421875,675.374125303667,
16372,1,3,7348,,4.978329,36235.4375,675.655070833623,
16373,2,3,7325,,4.978019,36249.84375,675.788991171672,
16374,14,2,7349,,4.804587,28431.39453125,810.091946097034,
16375,2,3,7343,,3.98308,27878.2421875,592.640343569961,
16376,1,3,7321,,3.673865,26530.7734375,743.098884118325,
16377,14,2,7347,,2.903779,17211.80078125,530.033832900255,
16378,5,3,7324,,2.788226,20021.515625,502.234788553278,
16379,1,3,7323,,2.489362,17916.015625,475.093514743965,
16380,9,3,7350,,79428.71,474525032.078125,156119.086112063,
16381,1,3,7351,,59639.93,434365211.511719,114183.102628702,
16382,14,1,7352,,22508.66,160875036.992188,62186.0687110161,
16383,9,3,7352,,18252.86,115317734.351563,80119.647194466,
16384,1,3,7351,,17922.22,131033052.566406,56757.8535846273,
